DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Mar-26,EQ,861.35,873.8,853,861.35,867,866.95,863.61,"1,177.55",765,2609169,"2,25,32,99,629.20",48047
13-Mar-26,EQ,865.25,878.75,844,866.55,863,861.35,855.8,"1,177.55",765,6756426,"5,78,21,59,954.35",61609
12-Mar-26,EQ,849.6,881.95,837.4,849.65,866.65,866.55,862.94,"1,177.55",765,6591414,"5,68,79,96,086.60",90427
11-Mar-26,EQ,866.6,877.9,846.9,856.9,852,849.65,863.96,"1,177.55",765,3005645,"2,59,67,66,220.45",51884
10-Mar-26,EQ,875,878.95,843.25,854.15,858.5,856.9,855.5,"1,177.55",765,3240047,"2,77,18,59,499.10",48641
09-Mar-26,EQ,841,858,825,858.4,855.5,854.15,841.54,"1,177.55",765,1922632,"1,61,79,62,409.55",37608
06-Mar-26,EQ,879.6,894.55,855.15,884.55,863,858.4,870.7,"1,177.55",758,5784124,"5,03,62,60,958.05",87497
05-Mar-26,EQ,886.25,889.75,864.6,871.95,883.6,884.55,873.2,"1,177.55",758,4655262,"4,06,49,91,612.20",79707
04-Mar-26,EQ,880,882.8,867,903.55,870,871.95,873.87,"1,177.55",758,1976974,"1,72,76,21,436.85",47372
02-Mar-26,EQ,915,926.95,880.25,947.35,906.85,903.55,902.11,"1,177.55",758,3482707,"3,14,17,95,675.00",70675
27-Feb-26,EQ,960.35,969.5,942,965.95,944,947.35,956.35,"1,177.55",758,1156653,"1,10,61,66,087.30",23727
26-Feb-26,EQ,964.15,973.5,956.55,964.15,962.6,965.95,965.57,"1,177.55",758,911136,"87,97,65,827.10",19190
25-Feb-26,EQ,984.95,988.6,960,981.35,963,964.15,970.04,"1,177.55",758,1345367,"1,30,50,65,084.05",26908
24-Feb-26,EQ,970.15,988,956.45,970.35,984,981.35,969.81,"1,177.55",758,1290484,"1,25,15,23,006.15",25195
23-Feb-26,EQ,978.25,987.55,962,968.25,970.3,970.35,974.25,"1,177.55",758,1188654,"1,15,80,41,972.55",26487
20-Feb-26,EQ,976.4,980.75,965,976.5,967.2,968.25,972.97,"1,177.55",758,1221495,"1,18,84,82,488.40",25844
19-Feb-26,EQ,"1,000.10","1,005.00",970,"1,000.10",971.05,976.5,987.82,"1,177.55",758,1500530,"1,48,22,48,989.70",31644
18-Feb-26,EQ,"1,019.00","1,019.95",987.4,"1,016.80",998.55,"1,000.10",999.73,"1,177.55",758,1964869,"1,96,43,38,719.25",40944
17-Feb-26,EQ,982.65,"1,018.95",979.25,991.25,"1,014.25","1,016.80","1,001.51","1,177.55",758,3770349,"3,77,60,47,280.50",67504
16-Feb-26,EQ,949.5,999,936.45,950.5,991.8,991.25,982.06,"1,177.55",758,4171950,"4,09,71,20,994.70",84832
13-Feb-26,EQ,988.9,989.9,943.75,997.65,949.55,950.5,956.9,"1,177.55",758,2943844,"2,81,69,60,451.55",62445
12-Feb-26,EQ,992.45,999.6,980.05,994.75,996.5,997.65,990.71,"1,177.55",758,1250477,"1,23,88,55,520.45",24363
11-Feb-26,EQ,977,998.15,975.05,978.3,992.4,994.75,988.97,"1,177.55",758,1489878,"1,47,34,47,581.65",28263
10-Feb-26,EQ,985.8,987.8,953.05,982.65,976,978.3,976.11,"1,177.55",758,2057124,"2,00,79,76,131.10",35705
09-Feb-26,EQ,985,996.25,976.45,971.85,982,982.65,982.29,"1,177.55",758,1645440,"1,61,62,94,145.00",31363
06-Feb-26,EQ,966,974.95,954.25,967.15,968,971.85,963.97,"1,177.55",758,1608144,"1,55,02,00,375.15",32595
05-Feb-26,EQ,954,972,951.45,954.45,966,967.15,963.71,"1,177.55",758,3102511,"2,98,99,06,184.65",60973
04-Feb-26,EQ,935,970.9,920.35,932.1,953.45,954.45,950.45,"1,177.55",758,4230654,"4,02,10,22,917.15",89908
03-Feb-26,EQ,924,951.55,900,843.95,932,932.1,929.42,"1,177.55",758,10826968,"10,06,28,36,917.90",194957
02-Feb-26,EQ,814.2,847.9,807,806.8,845,843.95,833.21,"1,177.55",758,3922655,"3,26,83,91,388.15",80487
01-Feb-26,EQ,854.5,861.45,796.65,852.3,807.5,806.8,830.93,"1,177.55",758,3622961,"3,01,04,31,448.50",78941
30-Jan-26,EQ,854.9,864.8,842.7,858.8,851.3,852.3,855.51,"1,177.55",758,2887230,"2,47,00,41,312.90",39979
29-Jan-26,EQ,824.4,864.8,816.5,822.9,854.5,858.8,847.32,"1,177.55",758,7356835,"6,23,35,91,667.30",98226
28-Jan-26,EQ,809,825.7,795,799.1,821.2,822.9,809.47,"1,177.55",758,4377377,"3,54,33,48,877.10",64017
27-Jan-26,EQ,789,819.2,768.1,772.8,798,799.1,797.39,"1,177.55",758,13752483,"10,96,60,63,588.90",223255
23-Jan-26,EQ,909,909,765,904.3,779.4,772.8,803.93,"1,177.55",758,22973223,"18,46,88,14,749.50",307283
22-Jan-26,EQ,894,916.4,889.1,878.7,909,904.3,905.27,"1,177.55",758,1851769,"1,67,63,50,011.60",37698
21-Jan-26,EQ,885.5,892.6,868,883.2,885,878.7,880.47,"1,177.55",758,2259912,"1,98,97,94,466.00",46599
20-Jan-26,EQ,914.1,927,878,914,885.5,883.2,898.83,"1,177.55",758,2195862,"1,97,37,10,470.00",54857
19-Jan-26,EQ,928,936,911.5,930.1,912.5,914,920.15,"1,177.55",758,1203147,"1,10,70,81,364.30",32616
16-Jan-26,EQ,935.3,946.8,926.3,935.3,930,930.1,935.29,"1,177.55",758,1088002,"1,01,76,00,599.80",25458
14-Jan-26,EQ,935.5,945,932.1,936.7,935,935.3,938.32,"1,177.55",758,774904,"72,71,05,279.30",19091
13-Jan-26,EQ,952.4,952.4,927.4,942.2,935.5,936.7,938.24,"1,177.55",758,2066428,"1,93,88,06,319.30",32013
12-Jan-26,EQ,947.8,949.1,921.2,946.1,944,942.2,935.67,"1,177.55",758,2143293,"2,00,54,05,037.20",43718
09-Jan-26,EQ,988,991,942.2,988.8,944.9,946.1,963.07,"1,177.55",758,2326860,"2,24,09,23,260.70",54558
08-Jan-26,EQ,"1,024.10","1,024.10",982.9,"1,019.20",983.8,988.8,998.8,"1,177.55",758,1993966,"1,99,15,71,498.20",46129
07-Jan-26,EQ,"1,019.00","1,023.70","1,011.40","1,019.40","1,018.90","1,019.20","1,017.93","1,177.55",758,742308,"75,56,15,402.00",17635
06-Jan-26,EQ,"1,031.00","1,034.80","1,012.80","1,030.50","1,018.40","1,019.40","1,023.99","1,177.55",758,891487,"91,28,75,002.80",20406
05-Jan-26,EQ,"1,039.00","1,044.70","1,027.70","1,038.80","1,028.80","1,030.50","1,034.33","1,177.55",758,1020610,"1,05,56,46,015.90",23107
02-Jan-26,EQ,"1,029.00","1,043.50","1,026.40","1,025.90","1,038.40","1,038.80","1,035.03","1,177.55",758,1544713,"1,59,88,30,903.00",28884
01-Jan-26,EQ,"1,019.70","1,045.00","1,015.50","1,015.10","1,025.90","1,025.90","1,030.88","1,177.55",758,2304811,"2,37,59,86,241.90",46605
31-Dec-25,EQ,"1,013.00","1,018.80","1,009.20","1,007.10","1,015.00","1,015.10","1,015.09","1,177.55",758,637693,"64,73,18,199.70",16293
30-Dec-25,EQ,"1,002.00","1,011.60",998.3,"1,001.90","1,010.00","1,007.10","1,003.22","1,177.55",758,2090689,"2,09,74,21,892.00",28865
29-Dec-25,EQ,"1,018.10","1,019.80","1,000.00","1,018.10","1,002.00","1,001.90","1,007.09","1,177.55",758,830063,"83,59,44,152.00",26653
26-Dec-25,EQ,"1,015.00","1,027.00","1,011.50","1,015.00","1,016.00","1,018.10","1,020.97","1,177.55",758,834022,"85,15,10,505.50",20807
24-Dec-25,EQ,"1,018.00","1,024.30","1,012.20","1,016.90","1,012.60","1,015.00","1,018.86","1,177.55",758,835848,"85,16,11,920.30",19106
23-Dec-25,EQ,"1,021.80","1,027.00","1,013.30","1,020.80","1,017.00","1,016.90","1,020.28","1,177.55",758,829273,"84,60,88,481.10",18011
22-Dec-25,EQ,"1,022.00","1,028.80","1,018.30","1,020.90","1,020.10","1,020.80","1,022.29","1,177.55",758,954953,"97,62,40,555.30",22718
19-Dec-25,EQ,"1,012.50","1,024.70","1,007.20","1,011.00","1,018.70","1,020.90","1,018.76","1,210.50",758,2498071,"2,54,49,43,039.60",35574
18-Dec-25,EQ,"1,016.60","1,022.00","1,005.00","1,020.70","1,010.80","1,011.00","1,012.93","1,210.50",758,1150470,"1,16,53,46,577.70",25735
